Mi-tesis,mar, 16 jun. 2026 00:54:22 PET
Method,CogC,ev(G),iv(G),LOC,V,v(G)
com.tesis.automation.tests.checkout.CheckoutHappyPathTest.test_04b_SelectShippingOption(),3,2,3,47,658,4
com.tesis.automation.tests.checkout.CheckoutHappyPathTest.test_05_AddPayment(),2,1,3,54,548,3
com.tesis.automation.tests.checkout.CheckoutHappyPathTest.test_06_PerformCheckout(),0,1,1,17,188,1
"com.tesis.automation.utils.DataGenerator.generateAddItemPayload(Long, int)",0,1,1,9,24,1
com.tesis.automation.utils.DataGenerator.generateAddress(),0,1,1,17,152,1
"com.tesis.automation.utils.DataGenerator.generateCreditCardPayment(Long, Double, Address)",0,1,1,26,301,1
com.tesis.automation.utils.DataGenerator.generateEmail(),0,1,1,6,15,1
com.tesis.automation.utils.DataGenerator.generateUsername(),0,1,1,6,15,1
com.tesis.automation.utils.JsonSchemaValidator.JsonSchemaValidator(),0,1,1,1,0,1
"com.tesis.automation.utils.JsonSchemaValidator.validate(Response, String)",0,1,1,4,38,1
com.tesis.automation.utils.JsonSchemaValidator.validateCart(Response),0,1,1,3,15,1
com.tesis.automation.utils.JsonSchemaValidator.validateCheckout(Response),0,1,1,3,15,1
com.tesis.automation.utils.JsonSchemaValidator.validatePayment(Response),0,1,1,3,15,1
com.tesis.automation.utils.JsonSchemaValidator.validateProductCatalog(Response),0,1,1,3,15,1
com.tesis.automation.utils.ScenarioContext.clear(),0,1,1,6,15,1
com.tesis.automation.utils.ScenarioContext.exists(String),0,1,1,6,24,1
com.tesis.automation.utils.ScenarioContext.get(String),0,1,1,6,19,1
com.tesis.automation.utils.ScenarioContext.getLong(String),1,2,2,10,59,2
com.tesis.automation.utils.ScenarioContext.getString(String),1,1,2,7,44,2
"com.tesis.automation.utils.ScenarioContext.set(String, Object)",0,1,1,6,24,1

Class,LOC,OCavg,OCmax,V,WMC
com.tesis.automation.clients.BaseApiClient,110,1.50,3,"1,063",12
com.tesis.automation.clients.CartApiClient,49,1.00,1,325,4
com.tesis.automation.clients.CatalogApiClient,38,1.00,1,211,3
com.tesis.automation.clients.CheckoutApiClient,28,1.00,1,162,2
com.tesis.automation.dto.AdditionalField,13,n/a,n/a,13,0
com.tesis.automation.dto.Address,31,n/a,n/a,87,0
com.tesis.automation.dto.IsoCountry,13,n/a,n/a,13,0
com.tesis.automation.dto.OrderPayment,30,n/a,n/a,81,0
com.tesis.automation.dto.OrderWrapper,27,n/a,n/a,87,0
com.tesis.automation.dto.PaymentTransaction,30,n/a,n/a,81,0
com.tesis.automation.hooks.CommonHooks,19,1.00,1,118,2
com.tesis.automation.runners.RunCucumberTest,6,n/a,n/a,24,0
com.tesis.automation.steps.CartSteps,55,1.17,2,833,7
com.tesis.automation.steps.CatalogSteps,31,1.00,1,439,4
com.tesis.automation.steps.CheckoutSteps,56,1.00,1,797,8
com.tesis.automation.steps.CommonSteps,124,1.35,5,"2,267",27
com.tesis.automation.steps.PaymentSteps,29,1.00,1,345,5
com.tesis.automation.tests.Main,14,2.00,2,85,2
com.tesis.automation.tests.catalog.CatalogSmokeTest,36,1.00,1,303,3
com.tesis.automation.tests.checkout.CheckoutHappyPathTest,214,1.38,3,"3,015",11
com.tesis.automation.utils.DataGenerator,71,1.00,1,731,5
com.tesis.automation.utils.JsonSchemaValidator,20,1.00,1,181,6
com.tesis.automation.utils.ScenarioContext,49,1.33,1,480,8
com.tesis.automation.utils.ScenarioContext.Keys,12,n/a,n/a,107,0

Package,LOC,v(G)avg,v(G)tot
,10,n/a,n/a
com.tesis.automation.clients,244,1.35,23
com.tesis.automation.dto,186,n/a,n/a
com.tesis.automation.hooks,25,1.00,2
com.tesis.automation.runners,12,n/a,n/a
com.tesis.automation.steps,349,1.28,55
com.tesis.automation.tests,15,2.00,2
com.tesis.automation.tests.catalog,43,1.00,3
com.tesis.automation.tests.checkout,221,1.62,13
com.tesis.automation.utils,168,1.12,19
features,89,n/a,n/a
schemas,390,n/a,n/a

Module,LOC,v(G)avg,v(G)tot
broadleaf-api-test,"5,876",1.29,117

FileType,LOC
.gitignore (GitIgnore),39
